FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
0,Nation,United States,Ages 6_10,Total,2010,Number,"20,454,243"
0,Nation,United States,Ages 6_10,Total,2011,Number,"20,383,487"
0,Nation,United States,Ages 6_10,Total,2012,Number,"20,386,711"
0,Nation,United States,Ages 6_10,Total,2013,Number,"20,526,132"
0,Nation,United States,Ages 6_10,Total,2014,Number,"20,635,478"
0,Nation,United States,Ages 6_10,Total,2015,Number,"20,591,363"
0,Nation,United States,Ages 6_10,Total,2016,Number,"20,559,679"
0,Nation,United States,Ages 6_10,Total,2017,Number,"20,517,287"
0,Nation,United States,Ages 6_10,Total,2018,Number,"20,386,575"
0,Nation,United States,Ages 6_10,Total,2019,Number,"20,255,794"
0,Nation,United States,Ages 6_10,Total,2020,Number,"20,257,548"
